1,1
2,124
3,24
4,24
5,74
6,379
7,369
8,254
9,34
10,182
11,13
12,136
13,1004
14,313
15,410
16,22
17,1
18,278
19,30
20,422
21,222
22,268
23,615
24,35
25,49
26,3
27,3
28,1
29,20
30,1
31,2
32,1
33,1
34,1
35,228
36,854
37,1745
38,699
39,239
40,803
60,1117
41,828
42,949
43,28
44,83
45,244
46,1
47,29
48,224
49,447
3063,602
50,46
51,810
52,956
53,1062
54,1281
55,205
56,74
57,22
58,802
59,346
61,1513
62,1216
63,739
64,1237
65,1328
66,1416
67,827
68,1061
69,1148
70,1050
71,1063
72,1082
73,1127
74,1043
75,1217
76,762
77,1002
78,1159
79,1130
80,1134
81,1227
82,1523
83,1413
84,1477
85,1198
86,1107
87,283
88,147
89,208
90,87
91,436
92,91
93,157
94,1393
95,2687
96,1734
97,1463
98,1575
99,193
100,167
101,70
102,277
103,90
157,15
104,25
105,517
106,429
107,497
108,408
109,461
110,540
111,817
112,684
113,228
114,962
115,423
116,509
117,471
118,474
119,416
120,157
121,32
122,17
123,20
124,203
231,1
125,399
126,201
127,333
128,97
129,200
130,518
131,875
132,343
133,25
134,80
135,1224
136,250
137,8
138,31
139,6
140,76
141,18
142,310
143,77
144,44
145,122
146,6
147,12
148,20
149,26
150,5
151,3
152,1
153,2
154,5
155,124
156,2
158,147
159,144
160,149
161,1
162,942
163,620
164,645
165,1106
166,706
167,600
168,17
169,58
170,27
171,230
172,256
173,242
174,496
175,15
176,650
177,363
243,48
178,885
179,480
180,463
181,14
182,529
183,10
184,15
185,53
186,1
187,1
307,1759
188,3
189,20
190,110
191,
192,210
193,185
194,1
195,1434
196,2467
197,90
198,1637
199,172
200,1219
201,1347
202,76
203,991
204,2092
205,1
206,1532
207,63
208,88
209,
210,224
211,38
212,2271
213,510
214,295
215,39
216,221
217,1
218,1
219,127
220,152
221,194
222,160
223,16
224,2
225,639
226,1524
227,1198
228,1199
229,1403
230,1446
232,156
233,1
234,622
235,322
236,439
237,488
238,51
239,57
240,802
241,73
242,34
244,4
245,52
246,1
247,111
248,549
249,102
250,133
251,672
252,90
253,735
254,646
255,710
256,1113
257,1109
258,585
259,277
260,267
261,15
262,76
263,62
264,1769
265,1625
266,1775
267,1546
268,1642
269,1708
270,2098
271,770
272,836
273,950
274,185
275,53
276,249
277,405
278,94
279,244
280,8
281,619
282,6
283,8
284,363
2585,1097
285,110
286,28
287,1
288,94
289,
290,131
291,62
292,55
293,632
294,182
295,96
296,8
297,27
298,6
299,18
300,471
301,1
302,8
303,25
304,1351
305,1379
306,676
5644,197
308,1182
309,1202
310,1208
311,15
312,618
313,640
314,946
315,253
316,2376
317,1795
318,1626
319,2136
320,2529
321,875
322,983
323,420
324,1359
325,232
326,27
327,51
328,185
329,179
330,39
331,394
332,12
333,112
334,166
335,51
336,110
337,42
380,76
338,1
339,121
340,40
341,91
