cityid,total
635,10939
636,26284
637,42537
638,324222
639,88020
640,27495
641,51289
642,20639
643,4259
644,130695
645,18083
646,30156
647,45209
648,8269
649,24935
650,45964
651,24468
652,19894
653,45212
654,2311
655,56019
656,77065
657,270171
658,34985
659,108157
660,58554
661,75658
662,243291
663,86749
664,21122
665,45270
666,32263
667,20261
668,6430
669,1797
670,23987
671,11575
672,5662
673,15024
674,6764
675,55718
676,388768
677,76688
678,545108
679,28288
680,261406
681,142462
682,320956
683,121750
684,131964
685,61236
686,434782
687,174236
688,115083
689,287004
690,188982
691,45202
692,8183
693,61881
694,40807
695,68435
696,170870
697,60673
698,189375
699,248538
700,185548
701,56806
702,91888
703,45030
704,16095
705,33929
706,20160
707,19553
708,68853
709,45078
710,61360
711,17446
712,28887
713,79923
714,40864
715,23366
716,81059
753,159012
717,24193
718,32079
719,362947
720,38166
721,204372
722,212243
723,102056
724,244050
725,41016
726,65150
727,98104
728,34249
729,171791
730,78382
731,100295
732,31630
733,7844
734,20859
763,52792
735,57179
736,33907
737,257115
738,27050
739,32514
740,64039
741,33148
742,74451
743,42356
744,68071
745,50710
746,74866
747,164844
748,53846
749,42132
750,76159
751,256602
752,51148
754,69600
755,71296
756,10797
757,65477
758,136889
759,46750
760,2154
761,22503
762,54663
764,58776
765,58488
766,151205
767,41891
768,100671
769,24234
770,64815
771,62785
772,43792
773,209489
774,300981
775,500464
776,100118
777,303470
778,86274
779,130824
780,119188
811,382
781,166039
782,3639
783,7420
784,4935
785,20529
786,1782
787,6052
788,34638
789,62454
790,51559
791,14524
792,12011
793,6400
794,153070
795,49550
796,106688
797,135014
798,149826
799,439664
810,667
800,85590
801,31534
802,94529
803,115786
804,104107
805,104820
806,406912
807,191259
808,234837
809,35361
824,101
812,99
813,201
814,102
815,113
816,1710
817,230
818,75
819,352
820,755
821,100
822,190
823,83
825,151
826,832
827,1078
828,177
829,10
830,32
831,222
832,119
833,104
834,75
835,591
836,97
837,292
838,38975
839,100187
840,352918
841,293657
842,322093
843,107329
844,101838
845,134355
846,87620
847,77356
848,192419
849,53906
850,97673
851,571644
852,318883
853,337718
854,178903
944,2309
855,88409
856,54274
857,38531
858,952016
859,30229
860,1206
861,62650
862,40147
863,30700
864,55201
865,73524
866,153248
867,143134
868,188287
869,155118
870,74447
871,111635
872,155094
873,30465
874,31641
875,11787
876,75
877,352
878,303712
879,199110
880,832
881,59065
882,315450
883,384417
884,492121
885,295273
886,18691
887,83286
888,232611
889,69270
890,180940
891,67990
892,161089
893,168460
894,44489
895,271492
896,374746
897,577416
898,168544
899,187977
900,68437
901,10077
902,719421
903,240898
904,218128
905,695111
906,261545
907,148853
908,1081499
909,395993
910,257752
911,398611
912,397709
913,922800
914,72632
915,113023
916,120823
917,42385
918,94526
919,111871
920,122960
921,146589
922,63661
923,5032
924,104462
925,89382
926,159338
927,210222
928,153730
929,96866
930,130826
931,302622
945,9028
932,92637
933,42271
934,9048
935,38993
936,5985
937,3696
938,8118
939,27421
940,511
941,26302
942,8755
943,13098
946,44573
947,15532
948,25906
949,33345
950,30562
951,67510
952,972
953,2755
954,15643
955,-99
956,474
957,2135
958,7351
959,385532
960,23806
961,7882
962,14480
963,1185
964,69694
965,5504
966,598
967,251814
968,14297
969,102131
970,21572
971,35451
972,504326
973,21219
974,233876
975,22583
976,85060
977,594065
978,3611
979,303837
980,20158
981,2615
982,80784
983,60919
984,38219
985,122400
1046,72221
986,132058
987,314091
988,8712
989,594605
990,294682
991,233576
992,54373
993,55685
994,477396
995,361303
996,301506
997,235695
998,201781
999,353203
1000,87954
1001,68465
1002,14087
1003,44004
1004,14523
1005,66486
1006,247227
1007,1032324
1008,300424
1009,191209
1010,158555
1011,20580
1012,44024
1013,955
1014,157575
1015,68763
1177,7189
1016,194193
1017,6484
1018,7443
1019,143377
1020,43263
1021,59159
1022,86246
1023,132337
1024,134363
1025,297
1026,660
1027,10
1028,570
1029,42357
1030,46709
1031,64047
1032,18266
1033,27479
1034,180939
1035,43053
1240,8253
1036,33364
1037,59586
1038,91874
1039,62487
1040,126038
1041,62830
1042,50254
1043,36355
1044,115804
1045,130124
